DATE,CSUSHPISA,Year,Month,Per_Capita_GDP,Working_Population,Houses,CPI,UNRATE,Cons_Materials,FEDFUNDS,Income,Urban population (% of total population),old_percent,Subsidy,Num_Households
2001-01-01,109.846,2001.0,1.0,49911.0,180348500.0,3.8,175.6,4.2,142.0,5.98,10211.7,79.234,12.2969453233527,20.573,108209
2001-02-01,110.501,2001.0,2.0,49975.666666666664,180507700.0,3.7,176.0,4.2,142.4,5.49,10223.4,79.234,12.2969453233527,20.573,108209
2001-03-01,111.109,2001.0,3.0,50040.333333333336,180597500.0,3.8,176.1,4.3,142.4,5.31,10254.4,79.234,12.2969453233527,20.573,108209
2001-04-01,111.651,2001.0,4.0,50105.0,180853700.0,3.9,176.4,4.4,142.5,4.8,10233.1,79.234,12.2969453233527,20.573,108209
2001-05-01,112.163,2001.0,5.0,49994.666666666664,181012800.0,4.0,177.3,4.3,144.2,4.21,10214.7,79.234,12.2969453233527,20.573,108209
2001-06-01,112.796,2001.0,6.0,49884.333333333336,181358100.0,4.2,177.7,4.5,144.3,3.97,10218.1,79.234,12.2969453233527,20.573,108209
2001-07-01,113.491,2001.0,7.0,49774.0,181602000.0,4.2,177.4,4.6,143.4,3.77,10370.7,79.234,12.2969453233527,20.573,108209
2001-08-01,114.167,2001.0,8.0,49777.0,181865000.0,4.4,177.4,4.9,143.3,3.65,10543.1,79.234,12.2969453233527,20.573,108209
2001-09-01,114.812,2001.0,9.0,49780.0,181987200.0,4.4,178.1,5.0,143.0,3.07,10452.8,79.234,12.2969453233527,20.573,108209
2001-10-01,115.31,2001.0,10.0,49783.0,182250900.0,4.3,177.6,5.3,142.3,2.49,10267.7,79.234,12.2969453233527,20.573,108209
2001-11-01,115.856,2001.0,11.0,49885.666666666664,182519000.0,4.1,177.5,5.5,142.1,2.09,10279.7,79.234,12.2969453233527,20.573,108209
2001-12-01,116.454,2001.0,12.0,49988.333333333336,182718800.0,3.8,177.4,5.7,141.7,1.82,10298.9,79.234,12.2969453233527,20.573,108209
2002-01-01,117.143,2002.0,1.0,50091.0,182669300.0,4.2,177.7,5.7,142.0,1.73,10514.7,79.409,12.2874577893554,24.183,109297
2002-02-01,117.844,2002.0,2.0,50156.0,182823900.0,4.0,178.0,5.7,142.2,1.74,10531.6,79.409,12.2874577893554,24.183,109297
2002-03-01,118.687,2002.0,3.0,50221.0,183081600.0,4.1,178.5,5.7,143.2,1.73,10539.0,79.409,12.2874577893554,24.183,109297
2002-04-01,119.61,2002.0,4.0,50286.0,183315500.0,4.3,179.3,5.9,143.5,1.75,10574.2,79.409,12.2874577893554,24.183,109297
2002-05-01,120.724,2002.0,5.0,50311.333333333336,183462600.0,4.0,179.5,5.8,143.8,1.75,10616.5,79.409,12.2874577893554,24.183,109297
2002-06-01,121.813,2002.0,6.0,50336.666666666664,183672200.0,4.2,179.6,5.8,144.3,1.75,10648.2,79.409,12.2874577893554,24.183,109297
2002-07-01,122.888,2002.0,7.0,50362.0,183870800.0,4.2,180.0,5.8,144.7,1.73,10621.0,79.409,12.2874577893554,24.183,109297
2002-08-01,123.831,2002.0,8.0,50342.0,184126700.0,4.0,180.5,5.7,145.1,1.74,10623.0,79.409,12.2874577893554,24.183,109297
2002-09-01,124.78,2002.0,9.0,50322.0,184246500.0,3.9,180.8,5.7,145.4,1.75,10633.6,79.409,12.2874577893554,24.183,109297
2002-10-01,125.734,2002.0,10.0,50302.0,184457500.0,4.0,181.2,5.7,145.0,1.75,10661.8,79.409,12.2874577893554,24.183,109297
2002-11-01,126.669,2002.0,11.0,50355.333333333336,184790100.0,4.0,181.5,5.9,144.6,1.34,10690.9,79.409,12.2874577893554,24.183,109297
2002-12-01,127.624,2002.0,12.0,50408.666666666664,184909000.0,4.0,181.8,6.0,144.3,1.24,10719.9,79.409,12.2874577893554,24.183,109297
2003-01-01,128.461,2003.0,1.0,50462.0,185657900.0,4.0,182.6,5.8,144.4,1.24,10710.4,79.583,12.2779342993686,25.93,111278
2003-02-01,129.356,2003.0,2.0,50573.333333333336,185828700.0,4.5,183.6,5.9,145.2,1.26,10674.0,79.583,12.2779342993686,25.93,111278
2003-03-01,130.148,2003.0,3.0,50684.666666666664,186121600.0,4.1,183.9,5.9,145.2,1.25,10696.5,79.583,12.2779342993686,25.93,111278
2003-04-01,130.884,2003.0,4.0,50796.0,186476800.0,4.1,183.2,6.0,145.9,1.26,10752.7,79.583,12.2779342993686,25.93,111278
